####
# derived from Social Security Administration records
# from 1960 to 2012
# This file contains male-only names
# columns: Male_name, number_of_uses
Akir,     42.0000000
Akira,    931.0000000
Akito,     30.0000000
Akiva,   1437.0000000
Akmal,     11.0000000
Ako,     22.0000000
Akol,      6.0000000
Akon,     51.0000000
Akoni,     83.0000000
Akos,      5.0000000
Akram,    686.0000000
Aksel,    700.0000000
Aksh,     40.0000000
Akshaj,    284.0000000
Akshan,      5.0000000
Akshar,    317.0000000
Akshat,    280.0000000
Akshath,     90.0000000
Akshay,   1406.0000000
Akshit,     20.0000000
Akshith,     34.0000000
Akul,    170.0000000
Akwasi,     30.0000000
Akxel,     25.0000000
Akzel,     16.0000000
Al,   5909.0000000
Ala,    137.0000000
Alaa,    367.0000000
Alaan,      6.0000000
Alac,     10.0000000
Aladdin,    121.0000000
Aladin,      6.0000000
Aladino,     21.0000000
Alagie,      6.0000000
Alaijah,      5.0000000
Alain,   3053.0000000
Alaina,      6.0000000
Alajandro,      7.0000000
Alajuwon,     13.0000000
Alakai,    153.0000000
Alakay,     13.0000000
Alaki,     17.0000000
Alam,    216.0000000
Alameen,      7.0000000
Alamin,     87.0000000
Alan, 173850.0000000
Alana,     30.0000000
Aland,     69.0000000
Alandis,     49.0000000
Alando,    232.0000000
Alandre,     18.0000000
Alandus,     16.0000000
Alani,     38.0000000
Alanmichael,    221.0000000
Alann,     65.0000000
Alanna,      7.0000000
Alano,     84.0000000
Alanson,     15.0000000
Alantae,     10.0000000
Alante,    443.0000000
Alanzo,    248.0000000
Alaric,   1215.0000000
Alarick,      5.0000000
Alarik,     34.0000000
Alasdair,    187.0000000
Alassane,     96.0000000
Alastair,    679.0000000
Alastar,      5.0000000
Alaster,     41.0000000
Alastor,      6.0000000
Alax,     18.0000000
Alaxander,     20.0000000
Alay,      6.0000000
Alaye,     11.0000000
Alayn,     11.0000000
Alazar,     72.0000000
Alba,      5.0000000
Alban,    471.0000000
Albano,      5.0000000
Albara,      6.0000000
Albaraa,     30.0000000
Albaro,    598.0000000
Albeiro,     67.0000000
Alben,     43.0000000
Alber,     15.0000000
Alberico,      6.0000000
Albert, 102091.0000000
Alberta,     25.0000000
Alberth,     46.0000000
Albertico,      5.0000000
Albertjames,      5.0000000
Alberto,  48619.0000000
Albertus,     12.0000000
Albi,     86.0000000
Albie,     43.0000000
Albieri,     12.0000000
Albieris,      5.0000000
Albiery,      8.0000000
Albin,    660.0000000
Albino,    668.0000000
Albion,    167.0000000
Alby,      5.0000000
Alcario,     21.0000000
Alcee,     11.0000000
Alcibiades,      5.0000000
Alcide,     49.0000000
Alcides,    408.0000000
Alcindor,     33.0000000
Aldahir,    193.0000000
Aldair,   1064.0000000
Aldan,    155.0000000
Aldayr,      5.0000000
Aldayshein,      6.0000000
Aldean,     17.0000000
Aldemar,      5.0000000
Alden,   6389.0000000
Alder,    233.0000000
Aldhair,      7.0000000
Aldin,    449.0000000
Aldine,      5.0000000
Aldis,      6.0000000
Aldo,  10589.0000000
Aldolfo,     18.0000000
Aldon,    531.0000000
Aldous,     32.0000000
Aldred,     15.0000000
Aldren,     16.0000000
Aldric,    343.0000000
Aldrich,    236.0000000
Aldrick,    191.0000000
Aldridge,     22.0000000
Aldrik,      5.0000000
Aldrin,    372.0000000
Aldus,      5.0000000
Aldwin,     92.0000000
Aldyn,     45.0000000
Ale,      8.0000000
Aleander,     14.0000000
Alec,  46429.0000000
Alecander,      5.0000000
Aleck,    528.0000000
Alecsander,    235.0000000
Alecxander,    120.0000000
Alecxis,     75.0000000
Aleczander,    848.0000000
Alee,     48.0000000
Aleem,    369.0000000
Alegandro,    439.0000000
Aleister,    133.0000000
Alejadro,      5.0000000
Alejando,     30.0000000
Alejandr,      8.0000000
Alejandra,    518.0000000
Alejandro, 115227.0000000
Alejo,    499.0000000
Alejondro,      6.0000000
Alejos,     21.0000000
Alek,   3165.0000000
Alekai,      7.0000000
Alekay,      5.0000000
Aleki,     16.0000000
Alekos,      5.0000000
Aleks,    290.0000000
Aleksa,     45.0000000
Aleksandar,   1025.0000000
Aleksander,   2336.0000000
Aleksandr,   1000.0000000
Aleksandre,      5.0000000
Aleksandrs,      5.0000000
Aleksei,    295.0000000
Aleksey,    328.0000000
Aleksi,     47.0000000
Aleksis,      5.0000000
Aleksy,     36.0000000
Alekxander,     64.0000000
Alekzander,    639.0000000
Alekzandr,     16.0000000
Alem,    131.0000000
Alema,     21.0000000
Alen,   1542.0000000
Aleph,     13.0000000
Aleq,      5.0000000
Aleric,    126.0000000
Aleron,      5.0000000
Ales,      7.0000000
Alesander,     22.0000000
Alesandro,    270.0000000
Alesha,      6.0000000
Alessand,      5.0000000
Alessander,     55.0000000
Alessandro,   5950.0000000
Alessio,    639.0000000
Alex, 211509.0000000
Alexa,    227.0000000
Alexader,     25.0000000
Alexan,     18.0000000
Alexand,      5.0000000
Alexandar,    601.0000000
Alexande,    314.0000000
Alexander, 531090.0000000
Alexanderjames,     60.0000000
Alexandor,     16.0000000
Alexandr,    348.0000000
Alexandra,    851.0000000
Alexandre,   4150.0000000
