####
# derived from Social Security Administration records
# from 1960 to 2012
# This file contains female-only names
# columns: Female_name, number_of_uses
Ahnyah,     50.0000000
Ahnyia,      5.0000000
Ahnyla,     36.0000000
Ahnylah,      5.0000000
Ahona,      5.0000000
Ahonesti,     18.0000000
Ahonesty,     26.0000000
Ahreanna,      5.0000000
Ahri,     12.0000000
Ahria,     24.0000000
Ahriana,    145.0000000
Ahrianna,    136.0000000
Ahriel,     14.0000000
Ahriya,     15.0000000
Ahriyah,     17.0000000
Ahrya,     13.0000000
Ahsaki,     34.0000000
Ahsha,     40.0000000
Ahshanti,      5.0000000
Ahsia,     12.0000000
Ahslee,     31.0000000
Ahsley,   1190.0000000
Ahtyana,      5.0000000
Ahtziri,    937.0000000
Ahtziry,    265.0000000
