,,,Chair,Speaker,YSP,,,,,,,,,,,,,,,,,,,,,,,,
1532967776,7/30/18 9:22,Casamiquela,F,F,PD?,,,,,,F:Q,M:Q,F:Q,M:Q,, ;,,,,,,,,,,,,,
1532967778,7/30/18 9:22,Casamiquela,F,F,PD?,,,,,,F:Q,M:Q,F:Q,M:Q,, ;,,,,,,,,,,,,,
1532967780,7/30/18 9:23,Casamiquela,F,F,PD?,,,,,,F:Q,M:Q,F:Q,M:Q,, ;,,,,,,,,,,,,,
1532967781,7/30/18 9:23,Casamiquela,F,F,PD?,,,,,,F:Q,M:Q,F:Q,M:Q,, ;,,,,,,,,,,,,,
1532967793,7/30/18 9:23,Casamiquela,F,F,PD?,,,,,,F:Q,M:Q,F:Q,M:Q,, ;,,,,,,,,,,,,,
1532967820,7/30/18 9:23,Casamiquela,F,F,PD?,,,,,,F:Q,F:Q,M:Q,,Talk starts 12:06 Talk ends 12:18 Q/A ends 12:22 ;,,,,,,,,,,,,,,
1532967863,7/30/18 9:24,Casamiquela,F,F,PD?,,,,,,F:Q,M:Q,F:Q,M:Q,, ;,,,,,,,,,,,,,
1533051124,7/31/18 8:32,Cauzzi,F,M,SR,,,,,,M:C,M:Q,F:C,M:Q,F:Q,M:Q,M:Q,F:C,, ;,,,,,,,,,
1533051125,7/31/18 8:32,Cauzzi,,,SR,,,,,,M:C,M:Q,F:Q,M:C,M:Q,F:C,, ;,,,,,,,,,,,
1533051126,7/31/18 8:32,Cauzzi,M,F,SR,,,,,,M:C,M:Q,F:C,F:Q,M:C,M:Q,F:C,,Most comments were commenting on other comments. ;,,,,,,,,,,
1533051127,7/31/18 8:32,Cauzzi,M,F,SR,,,,,,M:C,M:Q,F:C,F:Q,M:C,M:Q,F:C,,"Chair did not enforce the ""qs no comments rule"" at all. ;",,,,,,,,,,
1533051129,7/31/18 8:32,Cauzzi,M,F,SR,,,,,,M:C,M:Q,F:C,F:Q,M:C,M:Q,F:C,, ;,,,,,,,,,,
1533051129,7/31/18 8:32,Cauzzi,M,F,SR,,,,,,M:C,M:Q,F:C,F:Q,M:Q,M:Q,F:C,,Talk starts 10:58 Talk ends 11:24 Q/A ends Male commenter kept interrupting speaker somewhat as she was explaining. ;,,,,,,,,,,
1533051129,7/31/18 8:32,Cauzzi,M,F,SR,,,,,,M:C,M:Q,F:C,F:Q,M:C,M:Q,F:C,, ;,,,,,,,,,,
1533051130,7/31/18 8:32,Cauzzi,M,F,SR,,,,,,M:C,M:Q,F:C,F:Q,M:C,M:Q,F:C,, ;,,,,,,,,,,
1533051136,7/31/18 8:32,Cauzzi,M,F,SR,,,,,,M:C,M:Q,F:C,M:Q,M:Q,, ;,,,,,,,,,,,,
1533051138,7/31/18 8:32,Cauzzi,M,F,SR,,,,,,M:C,M:Q,F:C,F:Q,M:C,M:Q,F:C,,Third comment was a response to the previous question. 7th comment was in response to a previous question (I forget which one) ;,,,,,,,,,,
1533051140,7/31/18 8:32,Cauzzi,M,F,SR,,,,,,M:C,M:Q,F:C,F:Q,M:C,M:Q,F:C,, ;,,,,,,,,,,
1533051152,7/31/18 8:32,Cauzzi,M,F,SR,,,,,,M:C,F:C,F:Q,M:C,M:Q,F:C,, ;,,,,,,,,,,,
